,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,PlacementStatus
SGPA_Sem1,1.0,0.9639508112332823,0.9637896476439782,0.9635999972874861,0.9631883905187412,0.9624741664549775,0.9619253701876381,0.9606395327949051,0.9114631741398598,0.49673720903637714,0.44637013350550586,0.5058473348853034,0.5358937528312334,0.5502704896315743,0.45683737184973633,0.49515724521188287,0.5259997929923855,0.5460140075370229,0.6075405064438127,0.21311492091092435,0.665038942521405
SGPA_Sem2,0.9639508112332823,1.0,0.9649154795959574,0.9647998907578625,0.9647539196581695,0.9642508349474475,0.9638999263717183,0.9628988885432693,0.9125697733185939,0.5061043942343467,0.4557179646437171,0.5143880710484428,0.5452081120758254,0.5607304552015007,0.4648323874128938,0.5064743917959061,0.5355816714865461,0.5558021566516258,0.6181422036969492,0.21564221031125164,0.6722517070861543
SGPA_Sem3,0.9637896476439782,0.9649154795959574,1.0,0.9657534429425919,0.9654768536644999,0.9658771730747814,0.9654800152095413,0.9647784459675169,0.9131739918809625,0.5138682585966631,0.46206025323354616,0.5235311931220149,0.5543898836584796,0.5689442602921635,0.47217025798944445,0.5141468465600854,0.5435927284704177,0.5638934205867688,0.6272596683801285,0.22003354353044596,0.6777800402763845
SGPA_Sem4,0.9635999972874861,0.9647998907578625,0.9657534429425919,1.0,0.9665696853362234,0.9665236668928123,0.9663490505723148,0.9661182822642551,0.9137265518756831,0.5218763956735142,0.4685512580762283,0.5309169585959348,0.5639201300945726,0.5781637799352474,0.4799122524828092,0.5221571611342758,0.5518209921699581,0.5729056671293894,0.6370484384005581,0.22201314750086926,0.683971542919334
SGPA_Sem5,0.9631883905187412,0.9647539196581695,0.9654768536644999,0.9665696853362234,1.0,0.967442454905113,0.9674394217598327,0.96738868178193,0.913726344612012,0.5302622804862429,0.47522644812787546,0.5393353683101709,0.5711696879173296,0.5876236345103075,0.4862258872702871,0.5303059428499113,0.5606515527579476,0.5814027140549549,0.6468649005992312,0.22699874615561935,0.6909135050768099
SGPA_Sem6,0.9624741664549775,0.9642508349474475,0.9658771730747814,0.9665236668928123,0.967442454905113,1.0,0.9683609565841033,0.9684327632721528,0.9136013283148534,0.5374020054487988,0.4819045423013103,0.5472989298907504,0.5793154145876378,0.5953806301319367,0.4933731753610146,0.5380661408581648,0.5692496865402057,0.5895271466660864,0.655004463779505,0.2309749329371379,0.6958810216226265
SGPA_Sem7,0.9619253701876381,0.9638999263717183,0.9654800152095413,0.9663490505723148,0.9674394217598327,0.9683609565841033,1.0,0.9691801740892906,0.9143852498428083,0.5443120222062533,0.48886184300638164,0.5544370567943451,0.5865857935449142,0.604213578783836,0.4996466519320988,0.5458605551549588,0.5769713723096105,0.5984290758290212,0.6644180560869781,0.23497854776127275,0.7019716872056666
SGPA_Sem8,0.9606395327949051,0.9628988885432693,0.9647784459675169,0.9661182822642551,0.96738868178193,0.9684327632721528,0.9691801740892906,1.0,0.9135079805792626,0.5512033730967977,0.4962237878471966,0.5622405029632818,0.5952788369723917,0.611449160933938,0.5060722476396812,0.5529230922137814,0.584506923785113,0.6056057281847674,0.6738520312418723,0.23732509410633473,0.7071470336022787
CGPA,0.9114631741398598,0.9125697733185939,0.9131739918809625,0.9137265518756831,0.913726344612012,0.9136013283148534,0.9143852498428083,0.9135079805792626,1.0,0.5671764999751605,0.5197279803100359,0.583577045814538,0.5325990296197519,0.5497500616199519,0.4555942516797412,0.639591923104044,0.5245493606561561,0.6961599783072244,0.6042312845447773,0.21378175208820685,0.6489263470259014
AttendancePercent,0.49673720903637714,0.5061043942343467,0.5138682585966631,0.5218763956735142,0.5302622804862429,0.5374020054487988,0.5443120222062533,0.5512033730967977,0.5671764999751605,1.0,0.5043037175382872,0.5763312265172292,0.6074156288000127,0.6308627795646558,0.5073647498121672,0.661628892504931,0.6027691901669333,0.7179407004791861,0.6848336247472694,0.2477349170117056,0.5540237558143319
