Column,MissingValues,MissingPercentage
StudentID,0,0.0
Gender,0,0.0
City,0,0.0
CollegeTier,0,0.0
Stream,0,0.0
Specialisation,0,0.0
Hostel,0,0.0
HistoryOfBacklogs,0,0.0
SGPA_Sem1,0,0.0
SGPA_Sem2,0,0.0
SGPA_Sem3,0,0.0
SGPA_Sem4,0,0.0
SGPA_Sem5,0,0.0
SGPA_Sem6,0,0.0
SGPA_Sem7,0,0.0
SGPA_Sem8,0,0.0
CGPA,0,0.0
AttendancePercent,0,0.0
Internships,0,0.0
Projects,0,0.0
Workshops,4488,8.976
Certifications,0,0.0
Publications,0,0.0
AptitudeTestScore,4029,8.058
SoftSkillsRating,3526,7.052
CodingTestScore,2976,5.952
MockInterviewScore,4957,9.914000000000001
ExtraCurricular,0,0.0
CGPA_Tier,0,0.0
PlacementStatus,0,0.0
IsAnomaly,0,0.0
